short_name,full_name,elo
Alderson,Alderson Broaddus
Ball,Ball State
Barton,Barton
Belmont,Belmont Abbey
BYU,BYU
Charles,Charleston (WV)
Coker,Coker
CUI,Concordia (CA)
CSUN,CSUN
Daemen,Daemen
Emmanuel,Emmanuel (GA)
Erskine,Erskine
GMU,George Mason
GCU,Grand Canyon
Harvard,Harvard
UH,Hawaii
King,King (TN)
Lees,Lees-McRae
Lewis,Lewis
Limestone,Limestone
LMU,Lincoln Memorial
Linden,Lindenwood (MO)
LBSU,Long Beach State
Loyola,Loyola Chicago
McKendree,McKendree
Olive,Mount Olive
NJIT,NJIT
Greenville,North Greenville
Ohio,Ohio State
Penn,Penn State
Pepperdine,Pepperdine
Princeton,Princeton
PFW,Purdue Fort Wayne
Queens,Queens (NC)
Quincy,Quincy
Sacred,Sacred Heart
SFU,Saint Francis (PA)
USC,USC
Stanford,Stanford
UCI,UC Irvine
UCSD,UC San Diego
UCSB,UC Santa Barbara
UCLA,UCLA
