date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1/22/2021,2021,GMU,0,0,Ball,GMU,0,1,2,3,111,117,,,,,,
1/22/2021,2021,Ohio,0,0,Penn,Ohio,1,0,3,0,75,65,,,,,,
1/23/2021,2021,GMU,0,0,Ball,GMU,1,0,3,1,98,93,,,,,,
1/23/2021,2021,Ohio,0,0,Penn,Ohio,0,1,0,3,62,75,,,,,,
1/25/2021,2021,Pepperdine,0,0,Concordia,Pepperdine,0,1,2,3,92,106,,,,,,
1/27/2021,2021,Concordia,0,0,Pepperdine,Concordia,1,0,3,0,75,62,,,,,,
1/28/2021,2021,Ball,0,0,LMU,Ball,0,1,0,3,49,75,,,,,,
1/29/2021,2021,UCLA,0,0,GCU,UCLA,0,1,0,3,64,75,,,,,,
1/29/2021,2021,-,1,0,Loyola,NJIT,1,0,3,0,75,64,,,,,,
1/29/2021,2021,Ball,0,0,LMU,Ball,0,1,1,3,87,102,,,,,,
1/29/2021,2021,GMU,0,0,Southern Virginia,GMU,0,1,0,3,64,80,,,,,,
1/29/2021,2021,Penn,0,0,Ohio,Penn,0,1,0,3,54,75,,,,,,
1/30/2021,2021,-,1,0,Lewis,NJIT,1,0,3,2,105,106,,,,,,
1/30/2021,2021,Concordia,0,0,GCU,Concordia,1,0,3,0,86,80,,,,,,
1/30/2021,2021,GMU,0,0,Barton,GMU,0,1,0,3,48,75,,,,,,
1/30/2021,2021,Penn,0,0,Ohio,Penn,0,1,0,3,61,75,,,,,,
2/4/2021,2021,BYU,0,0,UCLA,BYU,1,0,3,1,90,90,,,,,,
2/4/2021,2021,NJIT,0,0,Sacred,NJIT,0,1,0,3,45,75,,,,,,
2/4/2021,2021,Penn,0,0,SFU,Penn,0,1,0,3,52,75,,,,,,
2/5/2021,2021,NJIT,0,0,Sacred,NJIT,0,1,0,3,48,75,,,,,,
2/5/2021,2021,Ball,0,0,PFW,Ball,0,1,1,3,86,98,,,,,,
2/5/2021,2021,GMU,0,0,Charleston,GMU,0,1,2,3,95,107,,,,,,
2/6/2021,2021,BYU,0,0,UCLA,BYU,0,1,0,3,54,75,,,,,,
2/6/2021,2021,Ball,0,0,PFW,Ball,0,1,0,3,57,75,,,,,,
2/6/2021,2021,GMU,0,0,Charleston,GMU,0,1,0,3,66,77,,,,,,
2/6/2021,2021,Penn,0,0,SFU,Penn,0,1,2,3,100,114,,,,,,
2/12/2021,2021,BYU,0,0,Pepperdine,BYU,0,1,0,3,55,78,,,,,,
2/12/2021,2021,SFU,0,0,Charleston,SFU,1,0,3,2,109,108,,,,,,
2/13/2021,2021,BYU,0,0,Pepperdine,BYU,0,1,1,3,98,102,,,,,,
2/13/2021,2021,UCLA,0,0,USC,UCLA,1,0,3,1,107,107,,,,,,
2/13/2021,2021,Penn,0,0,NJIT,Penn,0,1,1,3,80,96,,,,,,
2/13/2021,2021,SFU,0,0,Charleston,SFU,1,0,3,0,75,67,,,,,,
2/14/2021,2021,Penn,0,0,NJIT,Penn,1,0,3,0,75,52,,,,,,
2/18/2021,2021,BYU,0,0,GCU,BYU,0,1,1,3,87,99,,,,,,
2/18/2021,2021,USC,0,0,UCLA,USC,1,0,3,1,102,93,,,,,,
2/18/2021,2021,Stanford,0,0,Pepperdine,Stanford,1,0,3,0,77,63,,,,,,
2/19/2021,2021,Charleston,0,0,NJIT,Charleston,1,0,3,1,96,77,,,,,,
