date,season,home,n,p,t1,t2,r_t1,r_t2,s_t1,s_t2,p_t1,p_t2,s1_t1,s1_t2,s2_t1,s2_t2,s3_t1,s3_t2,s4_t1,s4_t2,s5_t1,s5_t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
12/29/2019 00:00:00,2020,UCI,0,0,Princeton,UCI,0,1,0,3,,,,,,,,,,,,,,,,,,,,
1/2/2020 00:00:00,2020,Daemen,0,0,UCLA,Daemen,1,0,3,0,,,,,,,,,,,,,,,,,,,,
1/2/2020 00:00:00,2020,USC,0,0,Princeton,USC,0,1,2,3,,,,,,,,,,,,,,,,,,,,
1/2/2020 00:00:00,2020,Loyola,0,0,King,Loyola,0,1,1,3,,,,,,,,,,,,,,,,,,,,
1/3/2020 00:00:00,2020,Hawaii,0,0,Charleston,Hawaii,0,1,0,3,,,,,,,,,,,,,,,,,,,,
1/3/2020 00:00:00,2020,Loyola,0,0,BYU,Loyola,1,0,3,1,,,,,,,,,,,,,,,,,,,,
1/3/2020 00:00:00,2020,Stanford,0,0,Menlo,Stanford,0,1,0,3,,,,,,,,,,,,,,,,,,,,
1/3/2020 00:00:00,2020,Lewis,0,0,King,Lewis,0,1,0,3,,,,,,,,,,,,,,,,,,,,
1/3/2020 00:00:00,2020,Urbana,0,0,NGU,Urbana,1,0,3,1,,,,,,,,,,,,,,,,,,,,
1/4/2020 00:00:00,2020,Hawaii,0,0,Charleston,Hawaii,0,1,0,3,,,,,,,,,,,,,,,,,,,,
1/4/2020 00:00:00,2020,Lewis,0,0,BYU,Lewis,1,0,3,1,,,,,,,,,,,,,,,,,,,,
1/4/2020 00:00:00,2020,Stanford,0,0,UCSC,Stanford,0,1,0,3,,,,,,,,,,,,,,,,,,,,
1/4/2020 00:00:00,2020,GMU,0,0,UCLA,GMU,1,0,3,0,,,,,,,,,,,,,,,,,,,,
1/4/2020 00:00:00,2020,Ohio,0,0,NGU,Ohio,0,1,0,3,,,,,,,,,,,,,,,,,,,,
1/5/2020 00:00:00,2020,Pepperdine,0,0,Cal Lu,Pepperdine,0,1,0,3,,,,,,,,,,,,,,,,,,,,
1/6/2020 00:00:00,2020,Concordia,0,0,Katherine,Concordia,0,1,1,3,,,,,,,,,,,,,,,,,,,,
1/6/2020 00:00:00,2020,Princeton,0,0,UCLA,Princeton,1,0,3,2,,,,,,,,,,,,,,,,,,,,
1/7/2020 00:00:00,2020,Ohio,0,0,Urbana,Ohio,0,1,0,3,,,,,,,,,,,,,,,,,,,,
1/7/2020 00:00:00,2020,LMU,0,0,UMO,LMU,0,1,0,3,,,,,,,,,,,,,,,,,,,,
1/8/2020 00:00:00,2020,SFU,0,0,Stanford,SFU,0,1,2,3,,,,,,,,,,,,,,,,,,,,
