short_name,2023,2022,2021,2020
Adrian,1,1,1,1
Alderson,0,1,1,1
Alvernia,1,1,1,1
Ambrose,1,1,1,1
American,1,1,1,1
Arcadia,1,1,1,1
Augustana,1,1,1,1
Aurora,1,1,1,1
Baldwin,1,1,1,1
Ball,1,1,1,1
Bard,1,1,1,1
Barton,1,1,1,1
Baruch,1,1,1,1
Belmont,1,1,1,1
Benedict,1,1,1,1
Benedictine,1,1,1,1
Bluefield,1,1,1,1
Brooklyn,1,1,1,1
BYU,0.1,1,1,1
Cairn,1,1,1,1
Cal Lu,1,1,1,1
Campbellsville,1,1,1,1
Carlow,1,1,1,1
Carolina,1,1,1,1
Carthage,1,1,1,1
CCNY,1,1,1,1
Central,1,1,1,1
Charleston,1,1,1,1
Coker,1,1,1,1
Colby,1,1,1,1
Concordia,1,1,1,1
Cornerstone,1,1,1,1
CSUN,1,1,1,1
CUC,1,1,1,1
Culver,1,1,1,1
Cumberland,1,1,1,1
CUW,1,1,1,1
Daemen,1,1,1,1
Dean,1,1,1,1
Dominican,1,1,1,1
DYouville,1,1,1,1
Eastern,1,1,1,1
Edgewood,1,1,1,1
Edward,1,1,1,1
Elizabeth,1,1,1,1
Elizabethtown,1,1,1,1
Elmira,1,1,1,1
Elms,1,1,1,1
Emerson,1,1,1,1
Emmanuel,1,1,1,1
Emmanuel MA,1,1,1,1
EMU,1,1,1,1
Endicott,1,1,1,1
ENU,1,1,1,1
Erskine,1,1,1,1
FDU,1,1,1,1
First Point,1,1,1,1
Fisher,1,1,1,1
Fontbonne,1,1,1,1
Fort Valley,1,1,1,1
GCU,1,1,1,1
Geneva,1,1,1,1
Georgetown,1,1,1,1
GMU,1,1,1,1
Graceland,1,1,1,1
Grand View,1,1,1,1
Greenville,1,1,1,1
Harvard,1,1,1,1
Hawaii,1,1,1,1
Hilbert,1,1,1,1
Hiram,1,1,1,1
Hunter,1,1,1,1
IIT,1,1,1,1
Immaculata,1,1,1,1
Indiana Tech,1,1,1,1
IWU,1,1,1,1
Jamestown,1,1,1,1
John Jay,1,1,1,1
Judson,1,1,1,1
Juniata,1,1,1,1
JWU,1,1,1,1
Katherine,1,1,1,1
Kean,1,1,1,1
King,1,1,1,1
Kings,1,1,1,1
KSU,1,1,1,1
Lakeland,1,1,1,1
Lancaster,1,1,1,1
Lasell,1,1,1,1
LBSU,1,1,1,1
Lees,1,1,1,1
Lehman,1,1,1,1
Lesley,1,1,1,1
Lewis,1,1,1,1
Life,1,1,1,1
Limestone,1,1,1,1
Lincoln,1,1,1,1
Lindenwood,1,1,1,1
LIU,1,1,1,1
LMU,1,1,1,1
Loras,1,1,1,1
Lourdes,1,1,1,1
Loyola,1,1,1,1
Maranatha,1,1,1,1
Marian,1,1,1,1
