date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1/13/2021,2021,Quincy,0,0,Indiana Tech,Quincy,0,1,0,3,58,75,,,,,,,,
1/14/2021,2021,Greenville,0,0,Tusculum,Greenville,0,1,1,3,80,99,,,,,,,,
1/15/2021,2021,Queens,0,0,SFU,Queens,0,1,2,3,92,106,,,,,,,,
1/15/2021,2021,Queens,1,0,SFU,Limestone,0,1,1,3,88,98,,,,,,,,
1/16/2021,2021,Queens,0,0,SFU,Queens,1,0,3,1,97,83,,,,,,,,
1/16/2021,2021,LMU,0,0,Lees,LMU,0,1,0,3,46,75,,,,,,,,
1/16/2021,2021,Campbellsville,0,0,Tusculum,Campbellsville,0,1,0,3,60,77,,,,,,,,
1/19/2021,2021,Alderson,0,0,Mount Union,Alderson,1,0,3,0,75,51,,,,,,,,
1/20/2021,2021,Lewis,0,0,Campbellsville,Lewis,0,1,1,3,73,105,,,,,,,,
1/21/2021,2021,Quincy,0,0,Georgetown,Quincy,0,1,0,3,45,75,,,,,,,,
1/21/2021,2021,Lourdes,0,0,Queens,Lourdes,0,1,2,3,105,97,,,,,,,,
1/22/2021,2021,GMU,0,0,Ball,GMU,0,1,2,3,111,117,,,,,,,,
1/22/2021,2021,Ohio,0,0,Penn,Ohio,1,0,3,0,75,65,,,,,,,,
1/22/2021,2021,SFU,0,0,King,SFU,1,0,3,1,99,92,,,,,,,,
1/22/2021,2021,Lewis,0,0,Queens,Lewis,0,1,0,3,56,75,,,,,,,,
1/22/2021,2021,Lindenwood,0,0,Georgetown,Lindenwood,0,1,2,3,88,110,,,,,,,,
1/22/2021,2021,Loyola,0,0,LMU,Loyola,0,1,1,3,87,98,,,,,,,,
1/22/2021,2021,Carolina,1,0,Erskine,Maranatha,1,0,3,0,75,50,,,,,,,,
1/23/2021,2021,GMU,0,0,Ball,GMU,1,0,3,1,98,93,,,,,,,,
1/23/2021,2021,Ohio,0,0,Penn,Ohio,0,1,0,3,62,75,,,,,,,,
1/23/2021,2021,SFU,0,0,King,SFU,1,0,3,2,111,108,,,,,,,,
1/23/2021,2021,Lewis,0,0,LMU,Lewis,0,1,0,3,65,75,,,,,,,,
1/23/2021,2021,Loyola,0,0,Queens,Loyola,0,1,0,3,56,75,,,,,,,,
1/23/2021,2021,Quincy,0,0,Culver,Quincy,0,1,0,3,58,80,,,,,,,,
1/23/2021,2021,Belmont,0,0,Limestone,Belmont,0,1,1,3,86,92,,,,,,,,
1/23/2021,2021,Carolina,1,0,Erskine,OUAZ,0,1,2,3,113,108,,,,,,,,
1/23/2021,2021,Carolina,1,0,Erskine,Lancaster,1,0,3,0,75,51,,,,,,,,
1/23/2021,2021,St Andrews,0,0,Alderson,St Andrews,1,0,3,1,98,87,,,,,,,,
1/24/2021,2021,McKendree,0,0,LMU,McKendree,0,1,0,3,56,75,,,,,,,,
1/24/2021,2021,Quincy,0,0,Augustana,Quincy,0,1,0,3,48,75,,,,,,,,
1/24/2021,2021,Quincy,0,0,Augustana,Quincy,0,1,1,3,81,98,,,,,,,,
1/25/2021,2021,Pepperdine,0,0,Concordia,Pepperdine,0,1,2,3,92,106,,,,,,,,
1/27/2021,2021,Concordia,0,0,Pepperdine,Concordia,1,0,3,0,75,62,,,,,,,,
1/27/2021,2021,Reinhardt,0,0,Erskine,Reinhardt,1,0,3,2,117,122,,,,,,,,
1/28/2021,2021,Ball,0,0,LMU,Ball,0,1,0,3,49,75,,,,,,,,
1/28/2021,2021,Queens,0,0,Belmont,Queens,1,0,3,2,109,114,,,,,,,,
1/28/2021,2021,Alderson,0,0,Geneva,Alderson,1,0,3,1,100,83,,,,,,,,
1/29/2021,2021,UCLA,0,0,GCU,UCLA,0,1,0,3,64,75,,,,,,,,
1/29/2021,2021,SFU,1,0,Loyola,NJIT,1,0,3,0,75,64,,,,,,,,
1/29/2021,2021,Ball,0,0,LMU,Ball,0,1,1,3,87,102,,,,,,,,
1/29/2021,2021,GMU,0,0,SVU,GMU,0,1,0,3,64,80,,,,,,,,
1/29/2021,2021,Penn,0,0,Ohio,Penn,0,1,0,3,54,75,,,,,,,,
1/29/2021,2021,SFU,0,0,Lewis,SFU,1,0,3,0,76,67,,,,,,,,
1/29/2021,2021,King,0,0,Lindenwood,King,1,0,3,0,75,54,,,,,,,,
1/29/2021,2021,Olive,0,0,Queens,Olive,0,1,2,3,105,107,,,,,,,,
1/30/2021,2021,SFU,1,0,Lewis,NJIT,1,0,3,2,105,106,,,,,,,,
1/30/2021,2021,Concordia,0,0,GCU,Concordia,1,0,3,0,86,80,,,,,,,,
1/30/2021,2021,GMU,0,0,Barton,GMU,0,1,0,3,48,75,,,,,,,,
1/30/2021,2021,Penn,0,0,Ohio,Penn,0,1,0,3,61,75,,,,,,,,
1/30/2021,2021,SFU,0,0,Loyola,SFU,1,0,3,2,116,98,,,,,,,,
1/30/2021,2021,LMU,0,0,Lindenwood,LMU,1,0,3,1,92,81,,,,,,,,
1/30/2021,2021,Tusculum,0,0,Belmont,Tusculum,1,0,3,0,76,56,,,,,,,,
1/30/2021,2021,Limestone,0,0,Greenville,Limestone,1,0,3,1,100,93,,,,,,,,
2/2/2021,2021,Limestone,0,0,Emmanuel,Limestone,0,1,1,3,93,102,,,,,,,,
2/2/2021,2021,Alderson,0,0,Bluefield,Alderson,0,1,2,2,107,106,,,,,,,,
2/3/2021,2021,Greenville,0,0,Belmont,Greenville,1,0,3,2,105,110,,,,,,,,
2/4/2021,2021,BYU,0,0,UCLA,BYU,1,0,3,1,90,90,,,,,,,,
2/4/2021,2021,NJIT,0,0,Sacred,NJIT,0,1,0,3,45,75,,,,,,,,
2/4/2021,2021,Penn,0,0,SFU,Penn,0,1,0,3,52,75,,,,,,,,
2/4/2021,2021,Lindenwood,0,0,McKendree,Lindenwood,1,0,3,0,75,54,,,,,,,,
2/4/2021,2021,Queens,0,0,Limestone,Queens,0,1,3,2,107,112,,,,,,,,
2/5/2021,2021,NJIT,0,0,Sacred,NJIT,0,1,0,3,48,75,,,,,,,,
2/5/2021,2021,Ball,0,0,PFW,Ball,0,1,1,3,86,98,,,,,,,,
2/5/2021,2021,GMU,0,0,Charleston,GMU,0,1,2,3,95,107,,,,,,,,
2/5/2021,2021,Ohio,0,0,Lewis,Ohio,0,1,1,3,89,99,,,,,,,,
2/5/2021,2021,Quincy,0,0,Loyola,Quincy,1,0,3,0,75,57,,,,,,,,
2/5/2021,2021,Olive,0,0,Emmanuel,Olive,0,1,0,3,60,75,,,,,,,,
2/5/2021,2021,Tusculum,0,0,LMU,Tusculum,1,0,3,2,110,102,,,,,,,,
2/6/2021,2021,BYU,0,0,UCLA,BYU,0,1,0,3,54,75,,,,,,,,
2/6/2021,2021,Ball,0,0,PFW,Ball,0,1,0,3,57,75,,,,,,,,
2/6/2021,2021,GMU,0,0,Charleston,GMU,0,1,0,3,66,77,,,,,,,,
2/6/2021,2021,Penn,0,0,SFU,Penn,0,1,2,3,100,114,,,,,,,,
2/6/2021,2021,Ohio,0,0,Lewis,Ohio,1,0,3,0,75,55,,,,,,,,
2/6/2021,2021,Lindenwood,0,0,McKendree,Lindenwood,1,0,3,0,75,60,,,,,,,,
2/6/2021,2021,Quincy,0,0,Loyola,Quincy,1,0,3,0,75,47,,,,,,,,
2/6/2021,2021,Barton,0,0,Emmanuel,Barton,0,1,1,3,87,103,,,,,,,,
2/6/2021,2021,Queens,0,0,King,Queens,1,0,3,0,75,62,,,,,,,,
2/9/2021,2021,Queens,0,0,Emmanuel,Queens,0,1,2,3,106,104,,,,,,,,
2/9/2021,2021,King,0,0,LMU,King,1,0,3,0,75,53,,,,,,,,
2/10/2021,2021,Barton,0,0,Limestone,Barton,0,1,1,3,88,98,,,,,,,,
2/12/2021,2021,BYU,0,0,Pepperdine,BYU,0,1,0,3,55,78,,,,,,,,
2/12/2021,2021,SFU,0,0,Charleston,SFU,1,0,3,2,109,108,,,,,,,,
2/12/2021,2021,Loyola,0,0,Lindenwood,Loyola,0,1,0,3,60,76,,,,,,,,
2/12/2021,2021,McKendree,0,0,Ohio,McKendree,0,1,1,3,82,98,,,,,,,,
2/12/2021,2021,PFW,0,0,Quincy,PFW,0,1,1,3,78,91,,,,,,,,
2/12/2021,2021,Lees,0,0,Barton,Lees,1,0,3,0,75,57,,,,,,,,
2/12/2021,2021,Belmont,0,0,Emmanuel,Belmont,0,1,1,3,91,97,,,,,,,,
2/12/2021,2021,Erskine,0,0,Greenville,Erskine,1,0,3,0,75,56,,,,,,,,
2/12/2021,2021,King,0,0,Olive,King,1,0,3,0,75,47,,,,,,,,
2/12/2021,2021,Queens,0,0,Alderson,Queens,0,1,0,3,45,75,,,,,,,,
2/13/2021,2021,BYU,0,0,Pepperdine,BYU,0,1,1,3,98,102,,,,,,,,
2/13/2021,2021,UCLA,0,0,USC,UCLA,1,0,3,1,107,107,,,,,,,,
2/13/2021,2021,Penn,0,0,NJIT,Penn,0,1,1,3,80,96,,,,,,,,
2/13/2021,2021,SFU,0,0,Charleston,SFU,1,0,3,0,75,67,,,,,,,,
2/13/2021,2021,Loyola,0,0,Lindenwood,Loyola,0,1,1,3,82,93,,,,,,,,
2/13/2021,2021,McKendree,0,0,Ohio,McKendree,0,1,1,3,87,92,,,,,,,,
2/13/2021,2021,PFW,0,0,Quincy,PFW,0,1,0,3,59,77,,,,,,,,
