short_name,full_name,division,mascot,conference,elo,location,eligible
Adrian,Adrian College,D-III,Bulldogs,MCVL,1500,"41.897785701653525, -84.06378176498569",0
Alderson,Alderson Broaddus University,D-II,Battlers,Independent,1500,"39.15707821033467, -80.05158937406792",1
Alvernia,Alvernia University,D-III,Crusaders,MAC,1500,"40.308195482372284, -75.93609804774519",0
American,American International College,D-II,Yellow Jackets,Independent,1419,"42.11819653301246, -72.55411909135562",1
Arcadia,Arcadia University,D-III,Knights,MAC,1500,"40.09189512018325, -75.16543497405404",0
Augustana,Augustana College (IL),D-III,Vikings,CCIW,1500,"41.50707807397814, -90.5507023989337",0
Aurora,Aurora University,D-III,Spartans,NACC,1500,"41.754929518874825, -88.35040048173529",0
Baldwin,Baldwin Wallace University,D-III,Yellow Jackets,MCVL,1500,"41.372090690678, -81.84717580056873",0
Ball,Ball State University,D-I,Cardinals,MIVA,1500,"40.207145339682654, -85.4063535970778",1
Bard,Bard College,D-III,Raptors,UVC,1500,"42.02378584506257, -73.90786832699553",0
Barton,Barton College,D-II,Bulldogs,Carolinas,1500,"35.736908888607566, -77.91135951366927",1
Baruch,Baruch College,D-III,Bearcats,CUNY AC,1500,"40.74027091463403, -73.98325759030051",0
Belmont,Belmont Abbey College,D-II,Crusaders,Carolinas,1500,"35.260949209445535, -81.04035964259134",1
Benedict,Benedict College,D-II,Tigers,SIAC,1419,"34.01302911507938, -81.0194713390587",1
Benedictine,Benedictine University,D-III,Eagles,NACC,1500,"41.780501946929036, -88.09615879522768",0
Bluefield,Bluefield College,NAIA,Rams,NAIA,1500,"37.245950864489764, -81.24445240620705",0
Brooklyn,Brooklyn College,D-III,Bulldogs,CUNY AC,1500,"40.63104871616864, -73.9544884311142",0
BYU,Brigham Young University,D-I,Cougars,MPSF,1500,"40.24775735793723, -111.65400410316153",1
Cairn,Cairn University,D-III,Highlanders,CSAC,1500,"40.1670948697853, -74.90559171636978",0
Cal Lu,California Lutheran University,D-III,Kingsmen,Independent,1500,"34.22633196106771, -118.87807278033313",0
Campbellsville,Campbellsville University,NAIA,Tigers,NAIA,1500,"37.343703858580945, -85.35335044938824",0
Carlow,Carlow University,NAIA,Celtics,NAIA,1500,"40.43903130319252, -79.96306475446164",0
Carolina,Carolina University,NCCAA,Bruins,NCCAA,1500,"36.087523477474456, -80.24955829665056",0
Carthage,Carthage College,D-III,Red Men,CCIW,1500,"42.6215922229578, -87.82230584629596",0
CCNY,City College of New York,D-III,Beavers,CUNY AC,1500,"40.81976412629696, -73.9495302395286",0
Central,Central State University,D-II,Marauders,SIAC,1419,"39.715131597362756, -83.87718939929674",1
Charleston,University of Charleston,D-II,Golden Eagles,EIVA,1500,"38.33334229250818, -81.61707890009181",1
Colby,Colby–Sawyer College,D-III,Chargers,GNAC,1500,"43.41183934465652, -71.9754399209063",0
Concordia,Concordia University Irvine,D-II,Eagles,MPSF,1500,"33.654125685708344, -117.81056815720085",1
CSUN,CSU Northridge,D-I,Matadors,Big West,1500,"34.24217382508362, -118.52592070292671",1
CUC,Concordia University Chicago,D-III,Cougars,NACC,1500,"41.899237012815654, -87.80952090882946",0
Culver,Culver–Stockton College,NAIA,Wildcats,NAIA,1500,"40.128468061043186, -91.53302925364306",0
CUW,Concordia University Wisconsin,D-III,Falcons,NACC,1500,"43.25429597914008, -87.91661537299478",0
Daemen,Daemen College,D-II,Wildcats,Independent,1500,"42.964334636072195, -78.78783629673202",1
