date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1/13/2021,2021,Quincy,0,0,Indiana Tech,Quincy,0,1,0,3,58,75,1000,1350,0.11766170295305857,0.8823382970469413,996.4701489114083,1353.5298510885918
1/15/2021,2021,Queens,0,0,SFU,Queens,0,1,2,3,92,106,1350,1200,0.7033850034718286,0.29661499652817136,1328.898449895845,1221.101550104155
1/16/2021,2021,Queens,0,0,SFU,Queens,1,0,3,1,97,83,1328.898449895845,1200,0.677432854646974,0.32256714535302605,1338.575464256436,1190.3229856394091
1/20/2021,2021,Lewis,0,0,Campbellsville,Lewis,0,1,1,3,73,105,1000,1350,0.11766170295305857,0.8823382970469413,996.4701489114083,1353.5298510885918
1/21/2021,2021,Quincy,0,0,Georgetown,Quincy,0,1,0,3,45,75,1000,1353.5298510885918,0.1155685230333608,0.8844314769666393,996.5329443089992,1356.9969067795926
1/22/2021,2021,GMU,0,0,Ball,GMU,0,1,2,3,111,117,1350,1350,0.5,0.5,1335.0,1365.0
1/22/2021,2021,Ohio,0,0,Penn,Ohio,1,0,3,0,75,65,1350,1350,0.5,0.5,1365.0,1335.0
1/22/2021,2021,SFU,0,0,King,SFU,1,0,3,1,99,92,1200,1338.575464256436,0.3105167635255695,0.6894832364744305,1220.684497094233,1317.890967162203
1/22/2021,2021,Lewis,0,0,Queens,Lewis,0,1,0,3,56,75,1200,1353.5298510885918,0.29239324847278275,0.7076067515272173,1191.2282025458164,1362.3016485427754
1/22/2021,2021,Lindenwood,0,0,Georgetown,Lindenwood,0,1,2,3,88,110,1000,1350,0.11766170295305857,0.8823382970469413,996.4701489114083,1353.5298510885918
1/22/2021,2021,Loyola,0,0,LMU,Loyola,0,1,1,3,87,98,1200,1350,0.29661499652817136,0.7033850034718286,1191.101550104155,1358.898449895845
1/23/2021,2021,GMU,0,0,Ball,GMU,1,0,3,1,98,93,1335.0,1365.0,0.4569335079777882,0.5430664920222119,1351.2919947606663,1348.7080052393337
1/23/2021,2021,Ohio,0,0,Penn,Ohio,0,1,0,3,62,75,1365.0,1335.0,0.5430664920222119,0.4569335079777882,1348.7080052393337,1351.2919947606663
1/23/2021,2021,SFU,0,0,King,SFU,1,0,3,2,111,108,1200,1317.890967162203,0.3365660336743799,0.66343396632562,1219.9030189897685,1297.9879481724345
1/23/2021,2021,Lewis,0,0,LMU,Lewis,0,1,0,3,65,75,1200,1362.3016485427754,0.28205651587747105,0.717943484122529,1191.5383045236758,1370.7633440190996
1/23/2021,2021,Loyola,0,0,Queens,Loyola,0,1,0,3,56,75,1200,1358.898449895845,0.28604046401225947,0.7139595359877405,1191.4187860796321,1367.479663816213
1/23/2021,2021,Quincy,0,0,Culver,Quincy,0,1,0,3,58,80,1000,1356.9969067795926,0.11354416853208106,0.886455831467919,996.5936749440376,1360.403231835555
1/24/2021,2021,McKendree,0,0,LMU,McKendree,0,1,0,3,56,75,1200,1350,0.29661499652817136,0.7033850034718286,1191.101550104155,1358.898449895845
1/24/2021,2021,Quincy,0,0,Augustana,Quincy,0,1,0,3,48,75,1100,1360.403231835555,0.18257449384206176,0.8174255061579382,1094.522765184738,1365.880466650817
1/24/2021,2021,Quincy,0,0,Augustana,Quincy,0,1,1,3,81,98,1100,1365.880466650817,0.17791600778843122,0.8220839922115688,1094.662519766347,1371.21794688447
1/25/2021,2021,Pepperdine,0,0,Concordia,Pepperdine,0,1,2,3,92,106,1350,1350,0.5,0.5,1335.0,1365.0
1/27/2021,2021,Concordia,0,0,Pepperdine,Concordia,1,0,3,0,75,62,1365.0,1335.0,0.5430664920222119,0.4569335079777882,1378.7080052393337,1321.2919947606663
1/28/2021,2021,Ball,0,0,LMU,Ball,0,1,0,3,49,75,1200,1351.2919947606663,0.29506566547367313,0.7049343345263268,1191.1480300357898,1360.1439647248765
1/29/2021,2021,UCLA,0,0,GCU,UCLA,0,1,0,3,64,75,1350,1350,0.5,0.5,1335.0,1365.0
1/29/2021,2021,,1,0,Loyola,NJIT,1,0,3,0,75,64,1367.479663816213,1350,0.5251340559052629,0.47486594409473715,1381.725642139055,1335.7540216771579
1/29/2021,2021,Ball,0,0,LMU,Ball,0,1,1,3,87,102,1200,1360.1439647248765,0.2845784952239445,0.7154215047760555,1191.4626451432816,1368.6813195815948
1/29/2021,2021,GMU,0,0,SVU,GMU,0,1,0,3,64,80,1100,1348.7080052393337,0.19283731046411096,0.8071626895358891,1094.2148806860766,1354.493124553257
1/29/2021,2021,Penn,0,0,Ohio,Penn,0,1,0,3,54,75,1351.2919947606663,1348.7080052393337,0.5037185912823794,0.4962814087176205,1336.1804370221948,1363.8195629778052
1/29/2021,2021,SFU,0,0,Lewis,SFU,1,0,3,0,76,67,1370.7633440190996,1297.9879481724345,0.603226905652609,0.3967730943473911,1382.6665368495212,1286.0847553420128
1/29/2021,2021,King,0,0,Lindenwood,King,1,0,3,0,75,54,1353.5298510885918,1200,0.7076067515272173,0.29239324847278275,1362.3016485427754,1191.2282025458164
1/30/2021,2021,,1,0,Lewis,NJIT,1,0,3,2,105,106,1382.6665368495212,1335.7540216771579,0.5671052155163947,0.4328947844836053,1395.6533803840293,1322.7671781426498
1/30/2021,2021,Concordia,0,0,GCU,Concordia,1,0,3,0,86,80,1335.0,1321.2919947606663,0.5197171752613627,0.48028282473863726,1349.408484742159,1306.8835100185072
1/30/2021,2021,GMU,0,0,Barton,GMU,0,1,0,3,48,75,1200,1354.493124553257,0.29124730334235616,0.7087526966576438,1191.2625808997293,1363.2305436535278
1/30/2021,2021,Penn,0,0,Ohio,Penn,0,1,0,3,61,75,1336.1804370221948,1363.8195629778052,0.4603077956214336,0.5396922043785665,1322.3712031535517,1377.6287968464483
1/30/2021,2021,SFU,0,0,Loyola,SFU,1,0,3,2,116,98,1381.725642139055,1286.0847553420128,0.6342639282400111,0.36573607175998885,1392.6977242918547,1275.1126731892132
1/30/2021,2021,LMU,0,0,Lindenwood,LMU,1,0,3,1,92,81,1362.3016485427754,1200,0.717943484122529,0.28205651587747105,1370.7633440190996,1191.5383045236758
2/4/2021,2021,BYU,0,0,UCLA,BYU,1,0,3,1,90,90,1365.0,1350,0.5215733330511455,0.47842666694885455,1379.3528000084657,1335.6471999915343
2/4/2021,2021,NJIT,0,0,Sacred,NJIT,0,1,0,3,45,75,1350,1322.7671781426498,0.5391111169272348,0.46088888307276527,1333.826666492183,1338.9405116504668
2/4/2021,2021,Penn,0,0,SFU,Penn,0,1,0,3,52,75,1275.1126731892132,1377.6287968464483,0.356604970541202,0.643395029458798,1264.4145240729772,1388.3269459626842
2/4/2021,2021,Lindenwood,0,0,McKendree,Lindenwood,1,0,3,0,75,54,1358.898449895845,1370.7633440190996,0.482931679391211,0.5170683206087889,1374.4104995141088,1355.2512944008358
2/5/2021,2021,NJIT,0,0,Sacred,NJIT,0,1,0,3,48,75,1333.826666492183,1338.9405116504668,0.4926411166431536,0.5073588833568464,1319.0474329928884,1353.7197451497614
2/5/2021,2021,Ball,0,0,PFW,Ball,0,1,1,3,86,98,1350,1368.6813195815948,0.4731412989534143,0.5268587010465856,1335.8057610313977,1382.8755585501972
2/5/2021,2021,GMU,0,0,Charleston,GMU,0,1,2,3,95,107,1350,1363.2305436535278,0.4809689154217477,0.5190310845782523,1335.5709325373475,1377.6596111161803
2/5/2021,2021,Ohio,0,0,Lewis,Ohio,0,1,1,3,89,99,1395.6533803840293,1322.3712031535517,0.6039249261840409,0.39607507381595913,1377.535632598508,1340.488950939073
2/5/2021,2021,Quincy,0,0,Loyola,Quincy,1,0,3,0,75,57,1392.6977242918547,1371.21794688447,0.5308725610769809,0.4691274389230191,1406.7715474595452,1357.1441237167794
2/6/2021,2021,BYU,0,0,UCLA,BYU,0,1,0,3,54,75,1379.3528000084657,1335.6471999915343,0.5625677310739265,0.4374322689260735,1362.475768076248,1352.524231923752
2/6/2021,2021,Ball,0,0,PFW,Ball,0,1,0,3,57,75,1335.8057610313977,1382.8755585501972,0.43267252758144303,0.567327472418557,1322.8255852039545,1395.8557343776404
2/6/2021,2021,GMU,0,0,Charleston,GMU,0,1,0,3,66,77,1335.5709325373475,1377.6596111161803,0.4397240868177123,0.5602759131822878,1322.3792099328161,1390.8513337207116
2/6/2021,2021,Penn,0,0,SFU,Penn,0,1,2,3,100,114,1264.4145240729772,1388.3269459626842,0.32887068074833153,0.6711293192516684,1254.5484036505272,1398.1930663851342
2/6/2021,2021,Ohio,0,0,Lewis,Ohio,1,0,3,0,75,55,1377.535632598508,1340.488950939073,0.5531133183561018,0.44688668164389816,1390.942233047825,1327.082350489756
