short_name,full_name,division,mascot,conference,elo,tracking
Adrian,Adrian College,D-III,Bulldogs,MCVL,1419,0
Alderson,Alderson Broaddus University,D-II,Battlers,Independent,1457.9799490766713,0
Alvernia,Alvernia University,D-III,Crusaders,MAC,1419,0
Arcadia,Arcadia University,D-III,Knights,MAC,1419,0
Augustana,Augustana College (IL),D-III,Vikings,CCIW,1419,0
Aurora,Aurora University,D-III,Spartans,NACC,1419,0
Baldwin,Baldwin Wallace University,D-III,Yellow Jackets,MCVL,1419,0
Ball,Ball State University,D-I,Cardinals,MIVA,1577.517252431599,1
Bard,Bard College,D-III,Raptors,UVC,1419,0
Barton,Barton College,D-II,Bulldogs,Carolinas,1527.8997539306602,1
Baruch,Baruch College,D-III,Bearcats,CUNY AC,1419,0
Belmont,Belmont Abbey College,D-II,Crusaders,Carolinas,1607.2842545538151,1
Benedict,Benedict College,D-II,Tigers,SIAC,1500,0
Benedictine,Benedictine University,D-III,Eagles,NACC,1419,0
Bluefield,Bluefield College,NAIA,Rams,NAIA,1373,0
Brooklyn,Brooklyn College,D-III,Bulldogs,CUNY AC,1419,0
BYU,Brigham Young University,D-I,Cougars,MPSF,1672.804379947105,1
Cairn,Cairn University,D-III,Highlanders,CSAC,1419,0
Cal Lu,California Lutheran University,D-III,Kingsmen,Independent,1419,0
Campbellsville,Campbellsville University,NAIA,Tigers,NAIA,1373,0
Carlow,Carlow University,NAIA,Celtics,NAIA,1373,0
Carthage,Carthage College,D-III,Red Men,CCIW,1419,0
CCNY,City College of New York,D-III,Beavers,CUNY AC,1419,0
Central,Central State University,D-II,Marauders,SIAC,1500,0
Charleston,University of Charleston,D-II,Golden Eagles,EIVA,1430.7959022455843,1
Colby,Colby–Sawyer College,D-III,Chargers,GNAC,1419,0
Concordia,Concordia University Irvine,D-II,Eagles,MPSF,1436.2225459234396,1
CSUN,CSU Northridge,D-I,Matadors,Big West,1458.5942767707968,1
CUC,Concordia University Chicago,D-III,Cougars,NACC,1419,0
Culver,Culver–Stockton College,NAIA,Wildcats,NAIA,1373,0
CUW,Concordia University Wisconsin,D-III,Falcons,NACC,1419,0
Daemen,Daemen College,D-II,Wildcats,Independent,1610.1771420531993,0
Dean,Dean College,D-III,Bulldogs,GNAC,1419,0
