short_name,full_name,division,mascot,conference,elo,location,eligible,twitter,color,ret_2023,ret_2022,ret_2021
ACU,Arizona Christian,NAIA,Firestorm,NAIA,1373,"33.619072132699095, -112.18480547349148",0,@ACUFirestorm,#d6281d,1,1,1
Adrian,Adrian,D-III,Bulldogs,D-III,1419,"41.897785701653525, -84.06378176498569",0,@acmvolley,#ffc425,1,1,1
AIC,American International,D-II,Yellow Jackets,ECC,1362.5382717225555,"42.11819653301246, -72.55411909135562",1,@AiCmvb,#fdb71d,0,0,0
Alderson,Alderson Broaddus,D-II,Battlers,IVA,1545.0,"39.15707821033467, -80.05158937406792",0,@ABUmvb,#1b386d,0.25,0.47,0.83
Alvernia,Alvernia,D-III,Crusaders,D-III,1419,"40.308195482372284, -75.93609804774519",0,@AlverniaMVB,,1,1,1
Ambrose,Saint Ambrose-Iowa,NAIA,Fighting Bees,NAIA,1373,"41.541422428054254, -90.58036660471811",0,@SAUBEES,#00549D,1,1,1
Arcadia,Arcadia,D-III,Knights,D-III,1419,"40.09189512018325, -75.16543497405404",0,,,1,1,1
Atlantic City,Harrah's Atlantic City,n/a,n/a,n/a,1500.0,"39.38521816948826, -74.43085192968793",0,,,1,1,1
Augustana,Augustana-IL,D-III,Vikings,D-III,1419,"41.50707807397814, -90.5507023989337",0,,,1,1,1
Aurora,Aurora,D-III,Spartans,D-III,1419,"41.754929518874825, -88.35040048173529",0,,,1,1,1
Baldwin,Baldwin Wallace,D-III,Yellow Jackets,D-III,1419,"41.372090690678, -81.84717580056873",0,,,1,1,1
Ball,Ball State,D-I,Cardinals,MIVA,2143.8630056952175,"40.207145339682654, -85.4063535970778",1,@BallStateMVB,#ba0c2f,0.57,0.44,0.63
Bard,Bard,D-III,Raptors,D-III,1419,"42.02378584506257, -73.90786832699553",0,,,1,1,1
Barry,Barry,D-II,Buccaneers,IVA,1535.6015358606567,"25.87915995374461, -80.19957598072673",1,,,,,
Barton,Barton,D-II,Bulldogs,CC,1807.4968623803097,"35.736908888607566, -77.91135951366927",1,@BartonVB,#003082,0.44,1.04,0.76
Baruch,Baruch,D-III,Bearcats,D-III,1419,"40.74027091463403, -73.98325759030051",0,,,1,1,1
Belmont,Belmont Abbey,D-II,Crusaders,CC,2035.1524492605406,"35.260949209445535, -81.04035964259134",1,@AbbeyMVB,#d31145,0.61,0.45,0.6
Benedict,Benedict,D-II,Tigers,SIAC,1455.6251305291185,"34.01302911507938, -81.0194713390587",1,@benedict_tigers,#3d1356,0,0,0
Benedictine,Benedictine,D-III,Eagles,D-III,1419,"41.780501946929036, -88.09615879522768",0,@BenUMensVB,,1,1,1
Bluefield,Bluefield,NAIA,Rams,NAIA,1373,"37.245950864489764, -81.24445240620705",0,@bstatesports,,1,1,1
Brandon,Brandon (CAN),CAN,Bobcats,CAN,1419,"49.84340438184875, -99.96468175826145",0,,,1,1,1
Brescia,Brescia,NAIA,Bearcats,NAIA,1373,"37.76883162783806, -87.11245839631172",0,,,,,
Brooklyn,Brooklyn,D-III,Bulldogs,D-III,1419,"40.63104871616864, -73.9544884311142",0,,,1,1,1
Buffalo,Buffalo State,D-III,Bengals,D-III,1419,"42.93461030446596, -78.88613261287061",0,,,,,
BYU,BYU,D-I,Cougars,MPSF,2220.3440748589232,"40.24775735793723, -111.65400410316153",1,@BYUvolleyball,#003fa2,0.38,0.87,0.02
Cairn,Cairn,D-III,Highlanders,D-III,1419,"40.1670948697853, -74.90559171636978",0,,,1,1,1
Cal Lu,California Lutheran,D-III,Kingsmen,D-III,1419,"34.22633196106771, -118.87807278033313",0,@CLUSports,,1,1,1
Calgary,Calgary,CAN,Dinos,CAN,1419,"51.07793341486812, -114.1337190177913",0,,,1,1,1
