short_name,full_name,division,conference,elo,games,wins,losses,win_pct,conf_wins,conf_losses,conf_pct,home_wins,home_losses,home_pct,away_wins,away_losses,away_pct,sets_won,sets_lost,set_diff,points_won,points_lost,point_diff,soo,sos,cinco_wins,cinco_losses,cinco_pct,points_game,points_set
Alderson,Alderson Broaddus University,D-II,Independent,1423.85,29,11,18,0.379,1,7,0.125,3,4,0.429,3,8,0.273,45,60,-15,2238,2333,-95,42013.95993417082,1448.76,2,4,0.333,-3.28,-0.9
American,American International College,D-II,Independent,1258.26,24,2,22,0.083,0,0,0.000,1,10,0.091,0,10,0.000,13,67,-54,1516,1933,-417,35268.723207196,1469.53,0,0,0,-17.38,-5.21
Ball,Ball State University,D-I,MIVA,1805.13,29,20,9,0.690,13,4,0.765,14,3,0.824,6,6,0.500,70,40,30,2518,2296,222,47056.0465291391,1622.62,5,2,0.714,7.66,2.02
Barton,Barton College,D-II,Carolinas,1367.91,24,5,19,0.208,4,10,0.286,4,9,0.308,1,10,0.091,33,63,-30,1948,2210,-262,37519.57150244897,1563.32,2,5,0.286,-10.92,-2.73
Belmont,Belmont Abbey College,D-II,Carolinas,1561.15,31,15,16,0.484,9,7,0.562,8,6,0.571,6,6,0.500,55,60,-5,2523,2549,-26,46965.538984155595,1515.02,4,2,0.667,-0.84,-0.23
Benedict,Benedict College,D-II,SIAC,1492.61,20,12,8,0.600,7,5,0.583,4,3,0.571,6,4,0.600,38,35,3,1554,1516,38,27627.614393572494,1381.38,4,0,1.000,1.9,0.52
BYU,Brigham Young University,D-I,MPSF,1762.9,26,19,7,0.731,9,5,0.643,14,0,1.000,4,7,0.364,62,40,22,2323,2193,130,42639.97056926861,1640.0,5,2,0.714,5.0,1.27
Central,Central State University,D-II,SIAC,1571.78,31,16,15,0.516,8,3,0.727,6,2,0.750,6,10,0.375,57,53,4,2412,2347,65,45827.75967148703,1478.31,2,2,0.500,2.1,0.59
Charleston,University of Charleston,D-II,EIVA,1652.16,29,22,7,0.759,5,6,0.455,14,2,0.875,6,4,0.600,71,29,42,2344,2029,315,45095.335887178626,1555.01,3,1,0.750,10.86,3.15
Concordia,Concordia University Irvine,D-II,MPSF,1477.33,26,7,19,0.269,2,11,0.154,6,9,0.400,1,8,0.111,31,63,-32,1975,2211,-236,43350.7342220749,1667.34,1,3,0.250,-9.08,-2.51
CSUN,CSU Northridge,D-I,Big West,1516.49,28,12,16,0.429,1,10,0.091,6,10,0.375,5,4,0.556,42,56,-14,2130,2228,-98,45498.91204708149,1624.96,3,2,0.600,-3.5,-1.0
Daemen,Daemen College,D-II,NEC,1697.92,24,17,7,0.708,11,4,0.733,9,1,0.900,8,5,0.615,55,35,20,2063,1870,193,36595.51202065025,1524.81,5,1,0.833,8.04,2.14
DYouville,D'Youville College,D-II,NEC,1452.74,23,10,13,0.435,3,11,0.214,6,6,0.500,3,7,0.300,36,48,-12,1800,1877,-77,34353.169375843776,1493.62,2,1,0.667,-3.35,-0.92
Edward,Edward Waters University,D-II,SIAC,1619.37,20,16,4,0.800,12,0,1.000,6,1,0.857,8,3,0.727,51,17,34,1626,1314,312,27946.261804337213,1397.31,1,1,0.500,15.6,4.59
Emmanuel,Emmanuel College,D-II,Carolinas,1484.54,28,8,20,0.286,3,11,0.214,5,6,0.455,3,14,0.176,35,71,-36,2148,2448,-300,42880.465553430986,1531.45,3,3,0.500,-10.71,-2.83
Erskine,Erskine College,D-II,Carolinas,1567.48,27,14,13,0.519,9,6,0.600,8,4,0.667,6,8,0.429,52,50,2,2270,2306,-36,40519.98204089783,1500.74,2,3,0.400,-1.33,-0.35
